id,exam_score
630000,71.107635
630001,70.36044
630002,87.324394
630003,57.043465
630004,47.216
630005,70.8946
630006,73.592926
630007,58.79076
630008,77.88189
630009,90.01052
630010,57.49099
630011,36.13915
630012,52.48393
630013,62.54867
630014,63.68776
630015,63.89159
630016,73.67209
630017,76.40137
630018,63.18751
630019,74.22253
630020,53.34203
630021,66.83937
630022,43.924713
630023,49.08109
630024,54.13469
630025,54.183537
630026,61.22579
630027,42.698112
630028,79.5664
630029,96.03283
630030,91.48341
630031,54.738113
630032,79.83165
630033,54.638283
630034,44.941242
630035,51.432404
630036,50.33851
630037,66.105095
630038,31.011646
630039,45.537666
630040,35.123856
630041,73.0375
630042,61.18665
630043,63.844543
630044,57.567455
630045,83.69873
630046,86.072334
630047,56.614395
630048,80.57399
630049,97.87901
630050,71.72979
630051,27.922245
630052,82.53
630053,76.53666
630054,64.53813
630055,39.63256
630056,41.722397
630057,74.85755
630058,41.26496
630059,77.56383
630060,60.492954
630061,29.911474
630062,40.683872
630063,34.95107
630064,65.79543
630065,46.794815
630066,69.77961
630067,46.894302
630068,87.591805
630069,90.08323
630070,78.86997
630071,63.21581
630072,71.64054
630073,73.87755
630074,72.19737
630075,77.91308
630076,92.92664
630077,36.810684
630078,69.37161
630079,49.340626
630080,90.81859
630081,84.339195
630082,33.7194
630083,49.748466
630084,77.954216
630085,92.675735
630086,70.49468
630087,69.28935
630088,74.03108
630089,78.70718
630090,77.674225
630091,74.75609
630092,63.216454
630093,47.848576
630094,48.52763
630095,74.45417
630096,70.085
630097,65.88979
630098,80.59539
630099,81.914474
630100,74.38729
630101,31.495436
630102,36.942677
630103,59.47352
630104,69.03738
630105,37.978638
630106,46.41138
630107,68.3904
630108,32.037315
630109,93.40879
630110,54.2543
630111,80.093666
630112,87.757324
630113,74.14064
630114,69.309364
630115,53.830986
630116,58.17512
630117,73.58742
630118,58.435555
630119,82.17421
630120,44.542923
630121,57.649216
630122,39.497612
630123,48.464706
630124,77.81126
630125,64.925125
630126,34.29703
630127,53.36695
630128,66.21184
630129,86.550385
630130,44.918423
630131,57.937695
630132,51.09737
630133,74.1411
630134,45.76595
630135,93.14883
630136,55.967583
630137,35.477528
630138,73.938385
630139,52.84874
630140,33.852978
630141,46.63356
630142,38.914177
630143,51.38954
630144,72.98551
630145,72.73821
630146,65.740944
630147,72.57713
630148,41.435802
630149,77.6916
630150,54.71999
630151,68.91887
630152,62.28633
630153,42.950104
630154,61.249176
630155,26.9118
630156,71.55052
630157,49.374207
630158,76.73548
630159,57.534832
630160,63.515415
630161,78.7571
630162,54.424023
630163,64.93313
630164,36.57659
630165,71.256294
630166,64.48277
630167,56.49034
630168,71.73609
630169,86.053154
630170,58.898247
630171,58.753094
630172,47.496693
630173,73.19559
630174,44.64072
630175,91.971245
630176,90.80393
630177,65.16982
630178,80.65135
630179,22.929214
630180,52.112087
630181,45.73097
630182,55.31419
630183,64.359245
630184,37.887665
630185,72.42073
630186,89.08744
630187,54.92058
630188,70.13962
630189,69.87407
630190,41.731747
630191,63.555954
630192,85.4379
630193,92.050285
630194,37.395214
630195,63.075417
630196,72.58854
630197,34.748783
630198,87.71471
630199,89.315704
630200,50.116356
630201,55.304703
630202,54.92572
630203,38.984272
630204,54.04256
630205,71.786095
630206,63.701523
630207,83.18376
630208,73.47838
630209,50.279724
630210,56.36534
630211,71.65837
630212,82.05403
630213,78.43656
630214,48.577675
