id,predicted_exam_score
630000,71.64407140290425
630001,70.02270847464162
630002,87.50795979258893
630003,56.11373850557926
630004,47.37621884994018
630005,70.09700682285892
630006,73.15021280792692
630007,59.22671739484739
630008,79.98188669003977
630009,90.56946445296133
630010,58.95287150615681
630011,37.80805533393456
630012,53.51180768082531
630013,61.71540225441639
630014,62.06922629688569
630015,64.94536490439661
630016,73.76435714544598
630017,76.35040091318977
630018,63.70949190237924
630019,74.12675133985546
630020,53.082725274724815
630021,68.51086371119632
630022,46.035963074112814
630023,48.84612699994726
630024,53.60894887136622
630025,54.27878154782151
630026,60.090631706478455
630027,43.27231925076273
630028,79.94141802901537
630029,97.44982335438759
630030,92.65604684751621
630031,54.744202358145145
630032,79.30946464066324
630033,56.33631033384263
630034,44.651872640245564
630035,52.590516949154086
630036,49.70059238116532
630037,66.21899769687015
630038,30.35794377489522
630039,46.385177286654084
630040,36.2225964052666
630041,74.89009710137314
630042,60.584682553094545
630043,64.89459976749981
630044,57.249002736626636
630045,83.84397842100732
630046,86.05165206306532
630047,56.01504011459735
630048,82.26444722467949
630049,98.0390818817844
630050,72.59207804405189
630051,29.12215093032089
630052,83.61513071025058
630053,76.64254632285952
630054,64.08979208753611
630055,39.39769688102685
630056,41.49806893915629
630057,74.90432264628451
630058,40.21016999789988
630059,77.22940113804106
630060,60.61678252451755
630061,30.907393872986557
630062,41.30720347776977
630063,36.1945416789931
630064,66.13857158108102
630065,47.108675097384115
630066,70.60291470879577
630067,47.2780925996898
630068,87.64216214751542
630069,90.91187629658491
630070,77.1788923624822
630071,63.943755547070076
630072,71.28350547733453
630073,74.58186237770258
630074,72.32524928514104
630075,78.36716394469546
630076,94.12904431951468
630077,38.162420594486576
630078,70.26365183347868
630079,49.61771984987646
630080,91.30096096315968
630081,83.44692722837534
630082,35.93560532820614
630083,49.86244771752483
630084,78.75842187350888
630085,91.720417259365
630086,70.94410354509614
630087,69.02023468703804
630088,74.63799178001146
630089,79.97716644682657
630090,77.71220715543456
630091,75.66194942706947
630092,62.17773001761333
630093,47.93605760178338
630094,48.34173476590899
630095,74.88869853972511
630096,70.2787524933556
630097,65.50604965874304
630098,80.65941240081874
630099,82.70868090238231
630100,75.64444926284186
630101,28.63243496436607
630102,37.08790152277853
630103,60.15936379493525
630104,70.53568044065395
630105,37.75516691479244
630106,48.15707223570757
630107,68.73411422394715
630108,33.831035942482835
630109,94.89817646458341
630110,53.343292160714235
630111,80.61815726523643
630112,88.01337696313934
630113,74.62538401270963
630114,70.33255561296164
630115,53.797659634186616
630116,57.55906893222519
630117,74.00145762861149
630118,58.33407922125598
630119,83.0015926323639
630120,44.20185366719397
630121,57.71521209666863
630122,39.55419702616435
630123,48.60833723364207
630124,78.5859532469019
630125,63.98494174544027
630126,35.78212764262903
630127,54.29877472484497
630128,66.62086382607255
630129,86.64243040562805
630130,45.83965608858995
630131,58.405178522515094
630132,51.42956066378271
630133,74.15883521938473
630134,46.023574511830724
630135,93.54915941476497
630136,56.581369583077574
630137,36.15371359481099
630138,74.48059624395613
630139,55.79979376341257
630140,34.53865352118931
630141,47.46011225675349
630142,38.99455773055698
630143,51.36072684395547
630144,74.13213123131854
630145,72.48628583040491
630146,65.91104544523688
630147,73.45462992932492
630148,42.04705419561057
630149,77.03620735222181
630150,54.926108611741064
630151,68.86921912446438
630152,61.77618928085806
630153,41.864878054048475
630154,62.05095319526877
630155,26.058427410285308
630156,72.70617000450208
630157,49.94904233839198
630158,76.9039424937039
630159,55.81172484949679
630160,62.29809732885459
630161,78.03097645252483
630162,54.2977685601546
630163,65.31520055791287
630164,37.40479068433131
630165,72.4111919590663
630166,65.66690330182965
630167,56.107716136090424
630168,72.75766181848373
630169,86.80904868801343
630170,59.93054132153212
630171,58.67025660487199
630172,47.05756270040255
630173,73.01000842477654
630174,45.38486896904751
630175,91.72088862610767
630176,90.08315298862722
630177,65.07855960520877
630178,81.5441727982366
630179,22.361372675597604
630180,52.96509859853061
630181,45.093838445878866
630182,56.76591946308822
630183,64.46194275813505
630184,36.77406627488969
630185,72.77626167232974
630186,89.40127988659788
630187,54.73396142917448
630188,68.74922398245106
630189,69.94503964800319
630190,41.85058690151996
630191,64.67535991012433
630192,85.3869907919064
630193,92.45042131138372
630194,37.058246403634904
630195,61.88617527558278
630196,72.9457715905953
630197,36.36141297581428
630198,89.05218919644811
630199,90.22389002698165
630200,50.79119204558861
630201,53.12739180434092
630202,54.50714854096063
630203,38.03032209187195
630204,54.331443845530444
630205,72.35331557321251
630206,64.31027961515792
630207,83.32456830181275
630208,74.51598748374687
630209,50.78404360816014
630210,56.579635246395206
630211,72.16543369020931
630212,82.47501003429697
630213,80.17404455590578
630214,49.08726497655899
630215,42.957083698861304
630216,83.82879029053414
630217,49.520163545611354
